autor,orcid,institucion,publicacion,issn,licencia,lugar_fecha,id,familia,objeto,dominio,condicion_aplicada,regla,residual_controlado,salida_esperada,motivo,has_domain,has_frontier,has_trace,has_return,no_plane_confusion,h_admit,he_stabilization,hhe_pair,solar_reference,sol_origin_claim,in_omega,empirical_detected,delta_en,m_joint,rho,ip_suma,defecto,u_flag
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-02,exclusion,hidrógeno identificado con ε₋₀,mezcla de plano preformal y material,separación de planos,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,H no es borde preformal,,,,,,,,,,,,,,,,,1,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-03,exclusion,hidrógeno identificado con ε₀,mezcla con activador primero,separación de planos,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,H no es suceso activador,,,,,,,,,,,,,,,,,1,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-04,exclusion,hidrógeno identificado con espacio,inversión entre dominio y objeto,separación de planos,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,H ocupa dominio espacial; no lo funda,,,,,,,,,,,,,,,,,1,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-05,exclusion,hidrógeno como fundamento absoluto,invasión de totalidad,separación de planos,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,"H es apertura material ordinaria, no fundamento absoluto",,,,,,,,,,,,,,,,,1,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-06,exclusion,Sol como origen material,confusión entre referencia y origen,corolario solar,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,el Sol contrasta el régimen; no lo funda,,,,,,,,,,,,,,,,,1,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-07,exclusion,fusión solar tratada como combustión,régimen nuclear confundido con químico,C_{E⇄M}^{SV},DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,cambia el canal físico y el residual de transición,,,,,,,,,,,,,,,,,1,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-08,exclusion,región estructural extendida presentada como subdominio reconocido,confusión entre búsqueda estructural y reconocimiento físico,SV-443,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,lo estructural requiere retorno específico antes de incorporarse al subdominio reconocido,,,,,,,,,,,,,,,,,1,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-09,exclusion,ADN aislado tratado como vida completa,componente molecular sin sistema biológico integrado,residual biológico,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,componente informacional no equivale a organismo vivo,,,,,,,,,,,,,,,,,1,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",CPS-N-01,cps_sv,par estructural fuera de umbral de persistencia,"Ω_443 evaluado por D(A,B)","D(A,B), B.1–B.5",CPS,"R_CPS: D(A,B), criterios B.1-B.5, compatibilidad y persistencia",NO-APTO,falla el umbral energético de persistencia conjunta,,,,,,,,,,,1,,1.2,0.2,1.6,2100,,
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-01,u,región estructural de búsqueda k=119…443,dominio estructural extendido,SV-443,U,R_U: retorno insuficiente con conservación de no determinación legítima,U,falta retorno físico específico para incorporarla al subdominio reconocido,,,,,,,,,,,,,,,,,,1
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-02,u,señal compatible con H sin atribución suficiente,observación instrumental incompleta,A_H^{SV},U,R_U: retorno insuficiente con conservación de no determinación legítima,U,la señal no basta para admitir ni rechazar,,,,,,,,,,,,,,,,,,1
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-03,u,par base×extendido sin retorno físico del segundo término,CPS-SV con región estructural de búsqueda,"D(A,B)",U,R_U: retorno insuficiente con conservación de no determinación legítima,U,relación estructural sin cierre físico externo del candidato,,,,,,,,,,,,,,,,,,1
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-04,u,molécula posible sin estabilidad contrastada,configuración molecular incompleta,residual molecular,U,R_U: retorno insuficiente con conservación de no determinación legítima,U,"faltan geometría, estabilidad o retorno suficiente",,,,,,,,,,,,,,,,,,1
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-05,u,medio prebiótico parcial,química prebiótica sin frontera biológica cerrada,residual biológico,U,R_U: retorno insuficiente con conservación de no determinación legítima,U,no basta para vida ni para rechazo total,,,,,,,,,,,,,,,,,,1
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-06,u,biomarcador compatible pero no concluyente,traza biológica parcial,residual biológico,U,R_U: retorno insuficiente con conservación de no determinación legítima,U,compatibilidad no equivale a cierre biológico,,,,,,,,,,,,,,,,,,1
